customer_id,transaction_date,channel,time_slot,amount,is_weekend
108,2022-01-11 06:00:00,In-Store,Evening,41.4,0
55,2022-01-11 12:00:00,Online,Afternoon,189.77,0
64,2022-01-11 18:00:00,Online,Morning,87.15,0
131,2022-01-12 00:00:00,Online,Morning,256.63,0
51,2022-01-12 06:00:00,Online,,278.87,0
135,2022-01-12 12:00:00,Online,Morning,298.94,0
21,2022-01-12 18:00:00,Online,Morning,239.82,0
73,2022-01-13 00:00:00,Online,Morning,227.35,0
167,2022-01-13 06:00:00,In-Store,Morning,68.57,0
18,2022-01-13 12:00:00,In-Store,Morning,104.12,0
132,2022-01-13 18:00:00,In-Store,Morning,142.38,0
89,2022-01-14 00:00:00,In-Store,Afternoon,,0
60,2022-01-14 06:00:00,Online,Evening,274.91,0
14,2022-01-14 12:00:00,Online,Afternoon,,0
9,2022-01-14 18:00:00,Online,Morning,277.1,0
90,2022-01-15 00:00:00,In-Store,Morning,210.21,1
53,2022-01-15 06:00:00,Online,Evening,185.18,1
130,2022-01-15 12:00:00,Online,Afternoon,63.95,1
84,2022-01-15 18:00:00,Online,Evening,21.38,1
92,2022-01-16 00:00:00,In-Store,Afternoon,172.7,1
111,2022-01-16 06:00:00,Online,Morning,,1
188,2022-01-16 12:00:00,In-Store,Evening,67.18,1
199,2022-01-16 18:00:00,In-Store,Evening,,1
172,2022-01-17 00:00:00,In-Store,Morning,257.67,0
8,2022-01-17 06:00:00,In-Store,Evening,251.34,0
175,2022-01-17 12:00:00,Online,Afternoon,278.57,0
35,2022-01-17 18:00:00,In-Store,Afternoon,112.94,0
81,2022-01-18 00:00:00,In-Store,Afternoon,98.82,0
164,2022-01-18 06:00:00,Online,Afternoon,226.08,0
50,2022-01-18 12:00:00,Online,Morning,132.18,0
104,2022-01-18 18:00:00,In-Store,Evening,30.83,0
132,2022-01-19 00:00:00,Online,Afternoon,88.43,0
2,2022-01-19 06:00:00,In-Store,Morning,128.48,0
134,2022-01-19 12:00:00,In-Store,Evening,91.29,0
54,2022-01-19 18:00:00,In-Store,Evening,103.0,0
106,2022-01-20 00:00:00,In-Store,Morning,91.66,0
4,2022-01-20 06:00:00,Online,Morning,17.24,0
54,2022-01-20 12:00:00,In-Store,Afternoon,,0
191,2022-01-20 18:00:00,Online,Evening,181.2,0
146,2022-01-21 00:00:00,Online,Evening,197.75,0
44,2022-01-21 06:00:00,Online,,,0
162,2022-01-21 12:00:00,Online,Evening,92.22,0
190,2022-01-21 18:00:00,In-Store,Afternoon,187.79,0
14,2022-01-22 00:00:00,Online,Evening,181.89,1
95,2022-01-22 06:00:00,In-Store,Morning,154.37,1
48,2022-01-22 12:00:00,Online,,108.37,1
15,2022-01-22 18:00:00,Online,Afternoon,274.31,1
200,2022-01-23 00:00:00,In-Store,,105.23,1
190,2022-01-23 06:00:00,In-Store,Evening,139.41,1
40,2022-01-23 12:00:00,In-Store,Evening,205.04,1
82,2022-01-23 18:00:00,Online,Morning,165.19,1
111,2022-01-24 00:00:00,Online,Afternoon,107.33,0
53,2022-01-24 06:00:00,In-Store,Afternoon,133.52,0
24,2022-01-24 12:00:00,In-Store,,239.37,0
154,2022-01-24 18:00:00,In-Store,Evening,87.05,0
188,2022-01-25 00:00:00,In-Store,Afternoon,46.97,0
124,2022-01-25 06:00:00,Online,Morning,97.38,0
41,2022-01-25 12:00:00,In-Store,Morning,255.61,0
157,2022-01-25 18:00:00,In-Store,,31.25,0
15,2022-01-26 00:00:00,In-Store,Evening,297.55,0
45,2022-01-26 06:00:00,In-Store,Afternoon,164.6,0
65,2022-01-26 12:00:00,Online,Evening,295.53,0
89,2022-01-26 18:00:00,In-Store,Morning,282.0,0
71,2022-01-27 00:00:00,Online,Afternoon,138.58,0
9,2022-01-27 06:00:00,In-Store,,63.55,0
88,2022-01-27 12:00:00,In-Store,Afternoon,53.64,0
129,2022-01-27 18:00:00,Online,Evening,75.8,0
136,2022-01-28 00:00:00,In-Store,Afternoon,214.49,0
63,2022-01-28 06:00:00,Online,Afternoon,85.52,0
139,2022-01-28 12:00:00,Online,Morning,105.72,0
81,2022-01-28 18:00:00,In-Store,Morning,137.39,0
136,2022-01-29 00:00:00,Online,Afternoon,274.4,1
163,2022-01-29 06:00:00,Online,Evening,60.87,1
163,2022-01-29 12:00:00,Online,Evening,6.48,1
33,2022-01-29 18:00:00,Online,Morning,,1
123,2022-01-30 00:00:00,Online,Evening,,1
5,2022-01-30 06:00:00,Online,Morning,196.02,1
41,2022-01-30 12:00:00,Online,Evening,85.55,1
28,2022-01-30 18:00:00,Online,Afternoon,57.27,1
135,2022-01-31 00:00:00,In-Store,Morning,91.81,0
72,2022-01-31 06:00:00,In-Store,Morning,38.87,0
12,2022-01-31 12:00:00,Online,Afternoon,282.75,0
162,2022-01-31 18:00:00,In-Store,Morning,236.34,0
33,2022-02-01 00:00:00,Online,Evening,141.41,0
48,2022-02-01 06:00:00,Online,Evening,,0
151,2022-02-01 12:00:00,In-Store,,78.59,0
62,2022-02-01 18:00:00,Online,,216.55,0
37,2022-02-02 00:00:00,Online,Morning,257.56,0
99,2022-02-02 06:00:00,Online,Afternoon,110.25,0
172,2022-02-02 12:00:00,Online,Morning,228.45,0
104,2022-02-02 18:00:00,In-Store,Afternoon,92.05,0
35,2022-02-03 00:00:00,Online,Evening,93.16,0
193,2022-02-03 06:00:00,Online,Afternoon,36.58,0
101,2022-02-03 12:00:00,Online,Evening,134.82,0
175,2022-02-03 18:00:00,In-Store,Morning,220.27,0
131,2022-02-04 00:00:00,Online,Evening,282.37,0
1,2022-02-04 06:00:00,In-Store,Morning,183.12,0
5,2022-02-04 12:00:00,In-Store,Morning,259.62,0
142,2022-02-04 18:00:00,Online,,247.64,0
103,2022-02-05 00:00:00,Online,Afternoon,56.14,1
27,2022-02-05 06:00:00,In-Store,Afternoon,148.32,1
137,2022-02-05 12:00:00,Online,Afternoon,39.49,1
15,2022-02-05 18:00:00,In-Store,Evening,206.24,1
90,2022-02-06 00:00:00,In-Store,Evening,285.22,1
42,2022-02-06 06:00:00,Online,Evening,45.44,1
124,2022-02-06 12:00:00,Online,Morning,221.5,1
179,2022-02-06 18:00:00,In-Store,Evening,191.51,1
63,2022-02-07 00:00:00,In-Store,Evening,177.16,0
96,2022-02-07 06:00:00,In-Store,Evening,,0
52,2022-02-07 12:00:00,In-Store,Afternoon,109.76,0
96,2022-02-07 18:00:00,Online,Evening,18.35,0
132,2022-02-08 00:00:00,Online,Morning,69.28,0
151,2022-02-08 06:00:00,Online,Afternoon,9.48,0
143,2022-02-08 12:00:00,Online,Morning,176.52,0
171,2022-02-08 18:00:00,Online,Evening,36.23,0
29,2022-02-09 00:00:00,In-Store,Afternoon,262.54,0
36,2022-02-09 06:00:00,Online,Morning,159.33,0
13,2022-02-09 12:00:00,Online,Evening,211.41,0
160,2022-02-09 18:00:00,Online,Morning,126.2,0
71,2022-02-10 00:00:00,Online,Morning,170.37,0
187,2022-02-10 06:00:00,Online,Morning,283.08,0
86,2022-02-10 12:00:00,In-Store,Evening,29.41,0
28,2022-02-10 18:00:00,In-Store,Evening,,0
66,2022-02-11 00:00:00,In-Store,Morning,235.1,0
170,2022-02-11 06:00:00,Online,Afternoon,34.13,0
45,2022-02-11 12:00:00,In-Store,Afternoon,27.32,0
62,2022-02-11 18:00:00,In-Store,Evening,,0
185,2022-02-12 00:00:00,Online,Evening,32.19,1
134,2022-02-12 06:00:00,Online,Evening,177.6,1
28,2022-02-12 12:00:00,Online,Evening,71.75,1
28,2022-02-12 18:00:00,In-Store,Evening,269.23,1
108,2022-02-13 00:00:00,In-Store,Afternoon,236.13,1
44,2022-02-13 06:00:00,Online,Evening,211.41,1
84,2022-02-13 12:00:00,Online,Morning,187.0,1
30,2022-02-13 18:00:00,In-Store,Morning,259.72,1
190,2022-02-14 00:00:00,In-Store,Afternoon,70.8,0
75,2022-02-14 06:00:00,Online,Morning,262.57,0
128,2022-02-14 12:00:00,Online,Afternoon,237.9,0
92,2022-02-14 18:00:00,In-Store,Afternoon,225.71,0
190,2022-02-15 00:00:00,Online,Morning,170.57,0
129,2022-02-15 06:00:00,In-Store,Evening,77.64,0
121,2022-02-15 12:00:00,In-Store,Morning,129.95,0
27,2022-02-15 18:00:00,In-Store,Morning,239.1,0
190,2022-02-16 00:00:00,In-Store,Afternoon,14.37,0
121,2022-02-16 06:00:00,Online,Morning,235.7,0
116,2022-02-16 12:00:00,Online,Afternoon,75.82,0
3,2022-02-16 18:00:00,In-Store,Evening,47.57,0
103,2022-02-17 00:00:00,In-Store,Evening,39.13,0
198,2022-02-17 06:00:00,In-Store,Evening,13.04,0
200,2022-02-17 12:00:00,In-Store,Morning,159.46,0
155,2022-02-17 18:00:00,In-Store,Afternoon,69.39,0
137,2022-02-18 00:00:00,Online,Evening,,0
62,2022-02-18 06:00:00,Online,Afternoon,,0
165,2022-02-18 12:00:00,Online,Afternoon,45.68,0
51,2022-02-18 18:00:00,Online,Evening,208.18,0
172,2022-02-19 00:00:00,In-Store,Evening,269.83,1
152,2022-02-19 06:00:00,In-Store,Afternoon,224.83,1
59,2022-02-19 12:00:00,In-Store,Evening,27.55,1
118,2022-02-19 18:00:00,In-Store,Afternoon,269.29,1
160,2022-02-20 00:00:00,In-Store,Afternoon,239.21,1
96,2022-02-20 06:00:00,Online,Evening,51.7,1
180,2022-02-20 12:00:00,In-Store,Morning,20.28,1
113,2022-02-20 18:00:00,Online,Evening,169.41,1
62,2022-02-21 00:00:00,Online,Morning,51.03,0
186,2022-02-21 06:00:00,Online,Afternoon,251.2,0
52,2022-02-21 12:00:00,Online,Afternoon,110.71,0
12,2022-02-21 18:00:00,In-Store,Morning,274.3,0
39,2022-02-22 00:00:00,Online,Afternoon,171.88,0
130,2022-02-22 06:00:00,Online,Morning,58.89,0
131,2022-02-22 12:00:00,Online,Morning,,0
113,2022-02-22 18:00:00,In-Store,Afternoon,175.06,0
101,2022-02-23 00:00:00,In-Store,,229.76,0
113,2022-02-23 06:00:00,In-Store,Evening,235.54,0
184,2022-02-23 12:00:00,Online,Evening,86.35,0
81,2022-02-23 18:00:00,Online,Afternoon,65.25,0
187,2022-02-24 00:00:00,In-Store,Afternoon,9.94,0
113,2022-02-24 06:00:00,Online,Morning,205.36,0
2,2022-02-24 12:00:00,In-Store,Morning,27.59,0
130,2022-02-24 18:00:00,In-Store,Morning,129.12,0
54,2022-02-25 00:00:00,Online,Morning,182.5,0
87,2022-02-25 06:00:00,Online,Evening,281.45,0
129,2022-02-25 12:00:00,Online,Evening,,0
147,2022-02-25 18:00:00,Online,Afternoon,78.68,0
126,2022-02-26 00:00:00,In-Store,Morning,197.98,1
130,2022-02-26 06:00:00,In-Store,Morning,187.68,1
53,2022-02-26 12:00:00,In-Store,Afternoon,102.97,1
172,2022-02-26 18:00:00,In-Store,,278.79,1
160,2022-02-27 00:00:00,In-Store,Morning,254.23,1
198,2022-02-27 06:00:00,Online,Morning,71.07,1
160,2022-02-27 12:00:00,In-Store,Morning,75.55,1
68,2022-02-27 18:00:00,In-Store,Morning,156.13,1
183,2022-02-28 00:00:00,In-Store,Afternoon,233.2,0
184,2022-02-28 06:00:00,Online,Morning,17.99,0
123,2022-02-28 12:00:00,Online,Afternoon,209.53,0
145,2022-02-28 18:00:00,Online,Morning,,0
38,2022-03-01 00:00:00,Online,Evening,73.29,0
24,2022-03-01 06:00:00,In-Store,Evening,206.0,0
69,2022-03-01 12:00:00,In-Store,Evening,282.35,0
116,2022-03-01 18:00:00,Online,Evening,18.8,0
98,2022-03-02 00:00:00,Online,Afternoon,99.3,0
198,2022-03-02 06:00:00,In-Store,,134.26,0
139,2022-03-02 12:00:00,In-Store,Morning,270.28,0
144,2022-03-02 18:00:00,Online,Evening,288.87,0
97,2022-03-03 00:00:00,Online,Afternoon,136.01,0
124,2022-03-03 06:00:00,Online,Morning,226.26,0
187,2022-03-03 12:00:00,Online,Morning,161.84,0
70,2022-03-03 18:00:00,In-Store,Afternoon,163.65,0
93,2022-03-04 00:00:00,In-Store,Evening,87.04,0
3,2022-03-04 06:00:00,In-Store,Morning,69.0,0
148,2022-03-04 12:00:00,Online,Evening,89.96,0
187,2022-03-04 18:00:00,Online,Evening,169.12,0
164,2022-03-05 00:00:00,In-Store,Evening,13.6,1
147,2022-03-05 06:00:00,In-Store,Morning,272.64,1
90,2022-03-05 12:00:00,In-Store,Evening,51.1,1
195,2022-03-05 18:00:00,In-Store,,69.93,1
147,2022-03-06 00:00:00,Online,Evening,,1
148,2022-03-06 06:00:00,In-Store,Morning,214.48,1
96,2022-03-06 12:00:00,In-Store,Evening,,1
199,2022-03-06 18:00:00,In-Store,Afternoon,98.72,1
52,2022-03-07 00:00:00,In-Store,Evening,,0
161,2022-03-07 06:00:00,In-Store,Evening,82.39,0
168,2022-03-07 12:00:00,In-Store,Morning,97.35,0
128,2022-03-07 18:00:00,In-Store,Morning,251.77,0
39,2022-03-08 00:00:00,Online,Evening,19.81,0
82,2022-03-08 06:00:00,Online,Afternoon,142.06,0
104,2022-03-08 12:00:00,Online,Afternoon,116.99,0
129,2022-03-08 18:00:00,Online,Morning,98.39,0
11,2022-03-09 00:00:00,In-Store,Afternoon,89.28,0
185,2022-03-09 06:00:00,Online,Evening,,0
178,2022-03-09 12:00:00,Online,Morning,97.87,0
151,2022-03-09 18:00:00,In-Store,Evening,17.7,0
159,2022-03-10 00:00:00,In-Store,Morning,235.38,0
42,2022-03-10 06:00:00,Online,Morning,122.48,0
99,2022-03-10 12:00:00,Online,Morning,135.95,0
7,2022-03-10 18:00:00,In-Store,Morning,268.61,0
144,2022-03-11 00:00:00,Online,Afternoon,199.13,0
90,2022-03-11 06:00:00,In-Store,Evening,7.38,0
112,2022-03-11 12:00:00,In-Store,Evening,283.24,0
60,2022-03-11 18:00:00,In-Store,Evening,74.96,0
113,2022-03-12 00:00:00,In-Store,Morning,36.75,1
2,2022-03-12 06:00:00,Online,Afternoon,231.6,1
129,2022-03-12 12:00:00,In-Store,Evening,152.64,1
48,2022-03-12 18:00:00,In-Store,Afternoon,132.96,1
140,2022-03-13 00:00:00,Online,,78.6,1
197,2022-03-13 06:00:00,In-Store,Evening,166.5,1
37,2022-03-13 12:00:00,Online,Afternoon,85.94,1
160,2022-03-13 18:00:00,Online,Morning,270.97,1
9,2022-03-14 00:00:00,Online,Afternoon,,0
99,2022-03-14 06:00:00,In-Store,Evening,265.88,0
147,2022-03-14 12:00:00,Online,Evening,170.02,0
48,2022-03-14 18:00:00,Online,Morning,249.4,0
131,2022-03-15 00:00:00,In-Store,Morning,215.29,0
148,2022-03-15 06:00:00,Online,Morning,210.53,0
152,2022-03-15 12:00:00,Online,Afternoon,100.68,0
54,2022-03-15 18:00:00,Online,Afternoon,,0
120,2022-03-16 00:00:00,Online,Afternoon,67.21,0
161,2022-03-16 06:00:00,Online,Morning,257.87,0
152,2022-03-16 12:00:00,In-Store,Evening,247.03,0
116,2022-03-16 18:00:00,Online,Evening,134.97,0
75,2022-03-17 00:00:00,Online,Afternoon,44.06,0
113,2022-03-17 06:00:00,In-Store,Afternoon,117.76,0
200,2022-03-17 12:00:00,In-Store,,187.71,0
164,2022-03-17 18:00:00,In-Store,Evening,139.05,0
166,2022-03-18 00:00:00,Online,Afternoon,235.16,0
104,2022-03-18 06:00:00,In-Store,Afternoon,299.3,0
84,2022-03-18 12:00:00,Online,Evening,61.38,0
112,2022-03-18 18:00:00,Online,Morning,,0
99,2022-03-19 00:00:00,In-Store,Afternoon,132.14,1
153,2022-03-19 06:00:00,In-Store,Evening,94.83,1
93,2022-03-19 12:00:00,Online,Evening,63.44,1
146,2022-03-19 18:00:00,In-Store,Evening,,1
128,2022-03-20 00:00:00,Online,Evening,266.7,1
110,2022-03-20 06:00:00,In-Store,,128.86,1
82,2022-03-20 12:00:00,In-Store,Evening,151.58,1
194,2022-03-20 18:00:00,In-Store,Afternoon,275.5,1
54,2022-03-21 00:00:00,Online,Morning,234.01,0
163,2022-03-21 06:00:00,In-Store,Evening,43.5,0
189,2022-03-21 12:00:00,Online,Morning,171.8,0
169,2022-03-21 18:00:00,Online,,,0
161,2022-03-22 00:00:00,Online,Evening,240.18,0
68,2022-03-22 06:00:00,Online,Afternoon,218.65,0
33,2022-03-22 12:00:00,In-Store,Evening,208.67,0
142,2022-03-22 18:00:00,Online,Evening,105.46,0
21,2022-03-23 00:00:00,Online,Evening,242.46,0
48,2022-03-23 06:00:00,In-Store,Evening,20.46,0
148,2022-03-23 12:00:00,Online,Evening,52.09,0
128,2022-03-23 18:00:00,In-Store,Morning,104.01,0
136,2022-03-24 00:00:00,Online,Evening,27.66,0
135,2022-03-24 06:00:00,In-Store,Evening,74.32,0
195,2022-03-24 12:00:00,Online,Morning,249.89,0
145,2022-03-24 18:00:00,In-Store,Morning,284.73,0
128,2022-03-25 00:00:00,Online,Morning,94.86,0
33,2022-03-25 06:00:00,Online,Morning,,0
176,2022-03-25 12:00:00,In-Store,Morning,87.57,0
187,2022-03-25 18:00:00,In-Store,Morning,86.93,0
115,2022-03-26 00:00:00,In-Store,Evening,15.6,1
119,2022-03-26 06:00:00,In-Store,Evening,278.44,1
22,2022-03-26 12:00:00,Online,Afternoon,68.04,1
158,2022-03-26 18:00:00,Online,Evening,128.9,1
38,2022-03-27 00:00:00,In-Store,Evening,7.86,1
109,2022-03-27 06:00:00,Online,Morning,258.1,1
51,2022-03-27 12:00:00,In-Store,Morning,220.69,1
182,2022-03-27 18:00:00,In-Store,Evening,,1
8,2022-03-28 00:00:00,Online,Afternoon,235.58,0
27,2022-03-28 06:00:00,Online,,97.54,0
27,2022-03-28 12:00:00,Online,Evening,78.12,0
21,2022-03-28 18:00:00,Online,Evening,210.83,0
30,2022-03-29 00:00:00,Online,Afternoon,112.41,0
97,2022-03-29 06:00:00,Online,Afternoon,172.03,0
28,2022-03-29 12:00:00,Online,Morning,6.85,0
111,2022-03-29 18:00:00,In-Store,Afternoon,23.26,0
192,2022-03-30 00:00:00,In-Store,,162.93,0
197,2022-03-30 06:00:00,In-Store,,171.99,0
61,2022-03-30 12:00:00,In-Store,Afternoon,226.68,0
48,2022-03-30 18:00:00,In-Store,Afternoon,43.93,0
147,2022-03-31 00:00:00,Online,Afternoon,156.39,0
4,2022-03-31 06:00:00,In-Store,,62.36,0
35,2022-03-31 12:00:00,In-Store,Morning,32.49,0
192,2022-03-31 18:00:00,In-Store,Afternoon,126.1,0
49,2022-04-01 00:00:00,In-Store,Morning,53.18,0
17,2022-04-01 06:00:00,In-Store,Evening,70.43,0
172,2022-04-01 12:00:00,In-Store,Afternoon,98.68,0
158,2022-04-01 18:00:00,In-Store,Morning,81.52,0
46,2022-04-02 00:00:00,Online,Afternoon,30.84,1
117,2022-04-02 06:00:00,Online,Evening,31.53,1
6,2022-04-02 12:00:00,In-Store,Evening,,1
99,2022-04-02 18:00:00,Online,Evening,,1
124,2022-04-03 00:00:00,Online,Afternoon,189.8,1
37,2022-04-03 06:00:00,Online,Afternoon,89.76,1
24,2022-04-03 12:00:00,Online,Morning,87.53,1
93,2022-04-03 18:00:00,In-Store,Evening,102.94,1
46,2022-04-04 00:00:00,Online,Afternoon,200.52,0
181,2022-04-04 06:00:00,Online,Evening,261.84,0
95,2022-04-04 12:00:00,Online,Evening,228.93,0
99,2022-04-04 18:00:00,In-Store,Morning,219.62,0
188,2022-04-05 00:00:00,In-Store,Morning,147.9,0
116,2022-04-05 06:00:00,In-Store,Morning,209.67,0
191,2022-04-05 12:00:00,In-Store,Morning,168.06,0
160,2022-04-05 18:00:00,In-Store,Evening,68.79,0
161,2022-04-06 00:00:00,In-Store,Morning,66.53,0
67,2022-04-06 06:00:00,In-Store,Morning,92.44,0
128,2022-04-06 12:00:00,Online,Morning,273.69,0
18,2022-04-06 18:00:00,Online,Morning,166.49,0
25,2022-04-07 00:00:00,Online,Evening,221.5,0
54,2022-04-07 06:00:00,In-Store,Morning,107.23,0
58,2022-04-07 12:00:00,In-Store,Evening,125.28,0
67,2022-04-07 18:00:00,In-Store,Afternoon,42.04,0
104,2022-04-08 00:00:00,In-Store,Evening,55.53,0
174,2022-04-08 06:00:00,In-Store,,,0
24,2022-04-08 12:00:00,Online,Morning,177.53,0
114,2022-04-08 18:00:00,Online,Afternoon,104.57,0
32,2022-04-09 00:00:00,In-Store,Afternoon,241.84,1
175,2022-04-09 06:00:00,In-Store,Afternoon,77.72,1
86,2022-04-09 12:00:00,In-Store,Afternoon,292.93,1
151,2022-04-09 18:00:00,In-Store,Evening,106.72,1
194,2022-04-10 00:00:00,Online,Afternoon,104.51,1
127,2022-04-10 06:00:00,In-Store,Evening,97.01,1
155,2022-04-10 12:00:00,In-Store,Evening,41.02,1
130,2022-04-10 18:00:00,In-Store,Evening,37.79,1
17,2022-04-11 00:00:00,In-Store,Afternoon,196.19,0
104,2022-04-11 06:00:00,Online,Morning,,0
161,2022-04-11 12:00:00,In-Store,Morning,238.2,0
137,2022-04-11 18:00:00,In-Store,Afternoon,46.63,0
43,2022-04-12 00:00:00,Online,Morning,165.95,0
176,2022-04-12 06:00:00,Online,Morning,36.15,0
39,2022-04-12 12:00:00,Online,,18.36,0
170,2022-04-12 18:00:00,In-Store,Evening,198.63,0
26,2022-04-13 00:00:00,In-Store,Afternoon,,0
99,2022-04-13 06:00:00,Online,,29.2,0
50,2022-04-13 12:00:00,Online,Morning,15.31,0
153,2022-04-13 18:00:00,Online,Evening,296.98,0
152,2022-04-14 00:00:00,Online,Afternoon,13.86,0
13,2022-04-14 06:00:00,Online,Afternoon,136.14,0
60,2022-04-14 12:00:00,Online,Afternoon,153.86,0
135,2022-04-14 18:00:00,In-Store,Afternoon,39.6,0
57,2022-04-15 00:00:00,In-Store,Afternoon,54.87,0
36,2022-04-15 06:00:00,In-Store,Afternoon,108.78,0
173,2022-04-15 12:00:00,Online,Morning,229.69,0
20,2022-04-15 18:00:00,Online,,154.59,0
65,2022-04-16 00:00:00,Online,Evening,,1
8,2022-04-16 06:00:00,Online,Afternoon,295.63,1
144,2022-04-16 12:00:00,Online,Evening,231.56,1
142,2022-04-16 18:00:00,Online,Evening,133.14,1
115,2022-04-17 00:00:00,In-Store,Evening,136.7,1
143,2022-04-17 06:00:00,In-Store,Afternoon,187.54,1
92,2022-04-17 12:00:00,Online,Afternoon,201.28,1
98,2022-04-17 18:00:00,In-Store,Evening,152.71,1
66,2022-04-18 00:00:00,Online,Evening,195.23,0
32,2022-04-18 06:00:00,In-Store,Afternoon,11.94,0
191,2022-04-18 12:00:00,Online,Morning,131.74,0
86,2022-04-18 18:00:00,Online,Evening,87.29,0
51,2022-04-19 00:00:00,In-Store,Morning,43.11,0
153,2022-04-19 06:00:00,In-Store,Evening,34.37,0
186,2022-04-19 12:00:00,Online,Morning,182.94,0
63,2022-04-19 18:00:00,Online,Morning,159.46,0
190,2022-04-20 00:00:00,In-Store,Morning,79.81,0
125,2022-04-20 06:00:00,In-Store,Afternoon,143.93,0
150,2022-04-20 12:00:00,Online,Morning,,0
58,2022-04-20 18:00:00,In-Store,Morning,62.53,0
58,2022-04-21 00:00:00,Online,Morning,197.37,0
86,2022-04-21 06:00:00,Online,Evening,235.37,0
49,2022-04-21 12:00:00,Online,Morning,238.48,0
180,2022-04-21 18:00:00,Online,Evening,182.73,0
170,2022-04-22 00:00:00,In-Store,Morning,155.93,0
70,2022-04-22 06:00:00,In-Store,,23.0,0
15,2022-04-22 12:00:00,In-Store,Afternoon,89.91,0
54,2022-04-22 18:00:00,In-Store,Evening,32.52,0
188,2022-04-23 00:00:00,In-Store,Morning,289.33,1
101,2022-04-23 06:00:00,In-Store,Evening,44.85,1
8,2022-04-23 12:00:00,In-Store,Evening,49.77,1
53,2022-04-23 18:00:00,Online,Afternoon,267.43,1
60,2022-04-24 00:00:00,In-Store,Afternoon,283.46,1
108,2022-04-24 06:00:00,In-Store,Afternoon,230.92,1
5,2022-04-24 12:00:00,Online,Afternoon,6.59,1
103,2022-04-24 18:00:00,In-Store,Afternoon,5.4,1
196,2022-04-25 00:00:00,In-Store,Afternoon,116.54,0
6,2022-04-25 06:00:00,Online,Afternoon,47.3,0
109,2022-04-25 12:00:00,In-Store,Afternoon,10.42,0
116,2022-04-25 18:00:00,In-Store,Morning,141.9,0
94,2022-04-26 00:00:00,In-Store,Evening,283.2,0
47,2022-04-26 06:00:00,Online,Afternoon,100.53,0
99,2022-04-26 12:00:00,In-Store,Afternoon,200.04,0
55,2022-04-26 18:00:00,In-Store,Evening,197.41,0
168,2022-04-27 00:00:00,Online,Morning,79.07,0
52,2022-04-27 06:00:00,In-Store,Evening,196.88,0
144,2022-04-27 12:00:00,Online,Evening,67.64,0
13,2022-04-27 18:00:00,Online,Afternoon,40.99,0
114,2022-04-28 00:00:00,In-Store,Evening,211.91,0
124,2022-04-28 06:00:00,Online,Evening,38.47,0
106,2022-04-28 12:00:00,Online,Afternoon,299.09,0
158,2022-04-28 18:00:00,In-Store,Afternoon,59.12,0
147,2022-04-29 00:00:00,Online,Afternoon,180.27,0
145,2022-04-29 06:00:00,Online,Afternoon,126.36,0
120,2022-04-29 12:00:00,In-Store,Evening,42.28,0
63,2022-04-29 18:00:00,In-Store,Evening,13.21,0
19,2022-04-30 00:00:00,In-Store,Morning,188.71,1
92,2022-04-30 06:00:00,Online,Morning,242.99,1
