customer_id,prev_slot,morning_ratio,is_weekend,Channel,Sex,Age,Amount,time_slot
220,Morning,0.76,1,Online,M,55.0,44.54,Morning
221,Morning,0.88,0,In-Store,M,28.0,,Evening
222,Evening,,0,Online,F,71.0,335.47,Afternoon
223,Afternoon,0.82,0,Online,F,73.0,442.03,Morning
224,Afternoon,0.11,0,Online,F,39.0,408.92,Morning
225,Morning,0.85,1,Online,F,50.0,345.72,Morning
226,Afternoon,,1,Online,F,,64.11,Evening
227,Afternoon,0.4,0,In-Store,M,62.0,151.7,Evening
228,Evening,0.8,1,In-Store,M,40.0,,Morning
229,Evening,0.15,0,Online,M,62.0,132.48,Morning
230,Evening,0.23,0,Online,M,62.0,262.35,Evening
231,Evening,0.72,1,In-Store,F,,272.42,Evening
232,Morning,0.72,1,Online,F,26.0,184.87,Morning
233,Evening,0.64,1,Online,M,41.0,183.36,Morning
234,Afternoon,0.69,1,Online,F,25.0,415.99,Morning
235,Morning,0.54,1,In-Store,F,24.0,396.75,Evening
236,Afternoon,0.25,1,In-Store,M,53.0,160.82,Morning
237,Afternoon,0.35,1,Online,M,35.0,457.76,Morning
238,Afternoon,,0,Online,F,,476.88,Evening
239,Evening,0.91,0,In-Store,F,45.0,170.1,Morning
240,Evening,0.58,0,In-Store,M,23.0,183.67,Morning
241,Morning,0.4,0,Online,M,61.0,257.76,Afternoon
242,Morning,0.46,0,Online,M,61.0,471.15,Morning
243,Evening,0.95,1,In-Store,F,38.0,439.4,Morning
244,Afternoon,0.15,0,In-Store,M,45.0,60.26,Afternoon
245,Morning,0.59,0,In-Store,M,57.0,202.44,Morning
246,Evening,0.51,0,Online,F,71.0,281.15,Afternoon
247,Evening,,0,In-Store,F,71.0,256.53,Evening
248,Evening,0.02,0,Online,F,18.0,104.99,Evening
249,Afternoon,0.87,0,In-Store,F,53.0,430.82,Morning
250,Evening,0.93,0,In-Store,F,,,Morning
251,Evening,0.57,1,In-Store,M,77.0,420.58,Morning
252,Evening,,1,In-Store,M,60.0,430.79,Morning
253,Evening,0.92,0,Online,F,52.0,376.69,Morning
254,Morning,0.71,1,Online,F,30.0,225.21,Afternoon
255,,0.15,1,In-Store,F,74.0,309.17,Morning
256,Evening,0.58,1,Online,F,,,Morning
257,Afternoon,0.61,1,In-Store,F,71.0,340.09,Morning
258,Morning,,0,In-Store,M,71.0,97.83,Afternoon
259,Evening,0.74,1,In-Store,M,27.0,350.04,Morning
260,Morning,0.93,1,In-Store,M,70.0,122.5,Afternoon
261,Morning,0.93,1,Online,M,61.0,67.6,Morning
262,Afternoon,0.45,0,In-Store,F,64.0,90.99,Evening
263,Evening,0.11,0,In-Store,M,70.0,10.98,Evening
264,Evening,0.98,0,Online,F,27.0,362.18,Morning
265,Afternoon,0.84,0,In-Store,F,63.0,368.88,Morning
266,Afternoon,0.12,0,In-Store,F,30.0,262.32,Afternoon
267,Evening,0.92,0,In-Store,M,54.0,89.07,Morning
268,Evening,0.87,0,Online,F,55.0,,Afternoon
269,Afternoon,0.52,1,In-Store,M,41.0,19.37,Evening
270,Morning,0.59,1,Online,M,,91.22,Afternoon
271,Morning,0.4,1,In-Store,F,39.0,446.52,Evening
272,Afternoon,0.05,0,In-Store,F,34.0,128.35,Afternoon
273,Morning,0.34,0,Online,F,53.0,183.59,Morning
274,Afternoon,0.8,0,In-Store,M,31.0,61.62,Afternoon
275,Morning,0.0,0,In-Store,F,27.0,118.96,Afternoon
276,Morning,0.33,0,,M,52.0,264.42,Afternoon
277,Evening,0.4,1,Online,F,42.0,307.8,Morning
278,Evening,0.54,1,,F,20.0,130.22,Morning
279,Morning,0.92,0,Online,M,64.0,38.29,Evening
280,Morning,0.35,0,Online,M,55.0,201.61,Morning
281,Evening,0.35,0,In-Store,M,,124.76,Evening
282,Evening,0.74,0,Online,M,29.0,117.58,Evening
283,Evening,0.45,1,In-Store,M,71.0,480.33,Evening
284,Afternoon,,0,In-Store,M,,311.99,Afternoon
285,Morning,0.45,0,In-Store,F,,282.87,Afternoon
286,Evening,0.14,0,Online,F,46.0,213.73,Evening
287,Morning,0.18,0,Online,M,60.0,,Afternoon
288,,0.5,1,In-Store,F,42.0,275.04,Afternoon
289,Afternoon,,0,Online,M,53.0,,Afternoon
290,Evening,0.91,0,Online,F,75.0,354.05,Morning
291,Afternoon,0.36,1,,F,77.0,94.13,Afternoon
292,Morning,0.58,1,Online,M,,255.06,Morning
293,,0.63,1,In-Store,M,55.0,211.86,Afternoon
294,Morning,0.01,0,In-Store,M,18.0,,Evening
295,Morning,0.66,0,Online,F,37.0,319.4,Morning
296,Afternoon,0.18,1,In-Store,M,72.0,270.93,Evening
297,Afternoon,0.96,1,Online,F,45.0,66.54,Afternoon
298,Afternoon,0.15,1,Online,M,33.0,306.76,Evening
299,Afternoon,0.41,1,In-Store,F,64.0,67.43,Afternoon
300,Afternoon,0.09,1,In-Store,F,34.0,175.23,Evening
301,Evening,1.0,1,In-Store,M,57.0,79.99,Morning
302,Morning,0.5,0,,F,45.0,349.12,Evening
303,Morning,0.6,0,,F,75.0,111.06,Morning
304,Morning,0.07,0,Online,M,29.0,,Evening
305,Morning,0.75,1,In-Store,F,44.0,448.88,Evening
306,Afternoon,0.21,1,In-Store,M,71.0,110.12,Afternoon
307,Morning,0.9,1,Online,M,70.0,258.82,Morning
308,Evening,,1,Online,M,59.0,215.44,Evening
309,Evening,0.19,1,,M,76.0,18.88,Morning
310,Morning,0.04,1,Online,F,64.0,398.45,Evening
311,,0.47,0,,F,47.0,,Morning
312,Evening,0.56,0,Online,F,58.0,242.38,Morning
313,Evening,0.07,1,Online,M,51.0,,Evening
314,Afternoon,0.78,0,Online,F,,317.93,Afternoon
315,Evening,0.45,1,In-Store,F,23.0,347.43,Evening
316,Afternoon,0.52,0,Online,M,24.0,134.1,Morning
317,Afternoon,0.44,1,Online,M,49.0,14.89,Afternoon
318,Afternoon,0.4,1,In-Store,F,49.0,364.49,Afternoon
319,Afternoon,0.56,0,,M,70.0,272.47,Afternoon
320,Afternoon,0.16,0,In-Store,M,42.0,419.7,Evening
321,Morning,0.18,1,In-Store,M,,412.48,Afternoon
322,Evening,0.86,1,Online,M,72.0,423.23,Morning
323,Afternoon,0.95,0,In-Store,F,75.0,247.7,Morning
324,Evening,0.37,0,Online,M,24.0,173.48,Evening
325,Evening,0.27,1,In-Store,M,69.0,397.86,Morning
326,Afternoon,0.64,0,In-Store,M,74.0,231.13,Afternoon
327,Morning,0.41,1,,M,79.0,99.89,Morning
328,Afternoon,0.03,1,Online,M,29.0,428.94,Evening
329,Morning,0.16,1,Online,M,33.0,,Evening
330,Evening,0.72,1,In-Store,M,33.0,238.49,Morning
331,Morning,0.66,0,In-Store,M,60.0,47.09,Morning
332,Morning,0.03,0,Online,F,70.0,200.03,Afternoon
333,Morning,0.22,0,Online,M,53.0,403.73,Afternoon
334,,,0,In-Store,F,30.0,451.87,Evening
335,Evening,0.67,0,In-Store,M,24.0,109.7,Morning
336,Morning,0.02,0,Online,M,53.0,42.82,Evening
337,Morning,,0,,M,64.0,439.9,Afternoon
338,Afternoon,0.8,1,Online,M,68.0,200.81,Morning
339,Morning,0.18,0,Online,F,26.0,275.46,Evening
340,Afternoon,0.65,0,Online,M,49.0,484.35,Morning
341,Morning,0.24,1,In-Store,M,28.0,42.62,Afternoon
342,Afternoon,0.1,0,Online,F,25.0,327.68,Morning
343,Evening,0.24,0,In-Store,F,50.0,,Morning
344,Morning,0.72,1,Online,M,40.0,193.98,Morning
345,Morning,0.86,0,In-Store,F,42.0,403.87,Morning
346,Morning,,0,Online,F,73.0,222.4,Afternoon
347,Morning,0.4,0,Online,F,25.0,498.62,Afternoon
348,Afternoon,0.67,1,In-Store,M,62.0,283.94,Morning
349,,0.2,0,In-Store,M,39.0,,Morning
350,Evening,0.29,0,,M,76.0,117.85,Morning
351,Evening,0.9,1,Online,F,21.0,181.76,Afternoon
352,Morning,0.01,0,Online,M,57.0,192.54,Evening
353,Evening,0.09,1,Online,F,20.0,43.67,Morning
354,Morning,0.21,1,Online,M,46.0,191.09,Evening
355,Morning,0.03,0,,M,58.0,237.48,Afternoon
356,Evening,0.18,1,In-Store,F,46.0,,Afternoon
357,Morning,0.58,1,Online,M,51.0,331.8,Morning
358,Evening,0.42,0,In-Store,F,51.0,357.3,Morning
359,Afternoon,0.89,1,In-Store,F,45.0,14.1,Morning
360,Morning,0.82,1,,M,30.0,116.66,Morning
361,Afternoon,0.34,0,Online,F,32.0,334.23,Morning
362,Evening,0.26,0,,M,77.0,247.15,Evening
363,Afternoon,0.38,0,Online,M,40.0,12.6,Afternoon
364,Afternoon,0.59,1,In-Store,F,61.0,404.2,Morning
365,Evening,0.27,0,Online,M,43.0,388.68,Evening
366,Afternoon,0.62,1,In-Store,F,21.0,278.73,Morning
367,Afternoon,0.41,1,Online,M,43.0,42.57,Afternoon
368,Evening,0.55,1,Online,M,57.0,385.59,Afternoon
369,Afternoon,0.44,1,In-Store,M,26.0,296.02,Evening
370,Evening,,1,,M,72.0,,Evening
371,,0.95,1,Online,M,22.0,378.36,Afternoon
372,Evening,0.76,1,Online,F,73.0,,Afternoon
373,Evening,0.14,0,Online,F,49.0,263.82,Evening
374,Afternoon,0.87,0,Online,F,37.0,78.76,Morning
375,Afternoon,0.49,1,Online,F,67.0,338.87,Morning
376,Afternoon,0.89,1,Online,F,28.0,314.03,Morning
377,Morning,0.8,0,Online,F,32.0,373.7,Morning
378,Morning,0.43,1,In-Store,M,49.0,93.24,Afternoon
379,Morning,0.02,0,In-Store,M,45.0,,Evening
380,Evening,0.27,0,Online,F,39.0,,Afternoon
381,,0.54,0,Online,F,58.0,377.49,Morning
382,Evening,0.63,1,,M,34.0,455.03,Afternoon
383,Morning,0.26,1,In-Store,M,76.0,381.77,Afternoon
384,Afternoon,0.14,0,In-Store,M,,302.61,Evening
385,Evening,0.83,0,Online,F,61.0,330.53,Morning
386,Afternoon,0.98,0,In-Store,F,24.0,445.67,Morning
387,Evening,0.53,0,Online,F,59.0,293.62,Morning
388,Afternoon,0.17,0,Online,M,74.0,319.87,Morning
389,Morning,0.27,1,In-Store,M,43.0,86.67,Evening
390,Morning,0.02,0,Online,F,42.0,242.22,Evening
391,,0.91,1,Online,F,27.0,361.03,Afternoon
392,Evening,0.12,0,Online,M,76.0,142.76,Morning
393,Morning,0.58,1,Online,M,62.0,109.1,Morning
394,Morning,0.27,1,In-Store,M,36.0,163.78,Evening
395,Morning,0.55,1,In-Store,M,28.0,128.34,Evening
396,Afternoon,0.65,1,Online,F,30.0,115.31,Morning
397,Afternoon,,1,,M,70.0,218.18,Morning
398,Evening,0.21,1,In-Store,M,25.0,454.84,Evening
399,Evening,0.01,0,Online,M,57.0,,Afternoon
400,Evening,0.14,1,In-Store,F,21.0,102.08,Afternoon
401,Afternoon,0.9,0,Online,F,64.0,47.72,Morning
402,Afternoon,0.87,1,Online,M,48.0,351.12,Morning
403,Evening,0.6,1,In-Store,M,45.0,,Evening
404,Evening,0.6,0,In-Store,M,28.0,412.7,Evening
405,Afternoon,0.67,1,In-Store,F,60.0,333.16,Afternoon
406,Evening,0.18,0,In-Store,F,18.0,400.16,Afternoon
407,Morning,0.91,0,Online,F,66.0,143.25,Morning
408,Afternoon,0.42,0,In-Store,M,64.0,349.26,Afternoon
409,Evening,0.38,0,Online,F,69.0,139.39,Morning
410,Afternoon,0.52,1,In-Store,M,55.0,470.14,Afternoon
411,Morning,0.05,1,In-Store,M,41.0,321.82,Afternoon
412,,0.17,0,Online,M,71.0,169.01,Morning
413,Afternoon,0.74,1,In-Store,F,,142.06,Morning
414,Afternoon,0.08,1,In-Store,M,74.0,103.55,Afternoon
415,Afternoon,0.6,0,In-Store,F,64.0,350.37,Morning
416,Morning,0.25,1,In-Store,F,48.0,117.17,Morning
417,Afternoon,0.39,0,Online,M,58.0,,Evening
418,Afternoon,0.29,0,Online,M,63.0,,Afternoon
419,Evening,0.36,1,In-Store,F,67.0,334.36,Afternoon
420,Afternoon,0.72,1,In-Store,M,,,Evening
421,Evening,0.3,1,,F,66.0,391.23,Evening
422,Morning,0.57,0,Online,M,67.0,382.82,Afternoon
423,Morning,0.48,0,Online,F,22.0,101.98,Evening
424,,,1,Online,F,37.0,53.31,Morning
425,Morning,,1,Online,F,69.0,352.48,Morning
426,,0.73,1,In-Store,F,58.0,190.49,Morning
427,Afternoon,0.21,1,In-Store,M,28.0,221.85,Evening
428,,0.03,0,In-Store,M,73.0,25.26,Evening
429,Afternoon,0.26,1,Online,F,71.0,137.19,Afternoon
430,Evening,0.6,0,In-Store,F,,26.5,Morning
431,Evening,0.05,0,Online,M,67.0,440.8,Evening
432,Evening,0.5,1,Online,M,55.0,129.26,Morning
433,Morning,0.6,1,In-Store,M,44.0,,Afternoon
434,Afternoon,0.33,1,In-Store,M,51.0,29.1,Afternoon
435,Afternoon,0.77,0,In-Store,M,32.0,336.76,Afternoon
436,Afternoon,0.11,1,Online,M,49.0,168.28,Evening
437,Evening,0.08,1,,F,78.0,449.98,Evening
438,Morning,0.73,0,In-Store,M,75.0,445.18,Morning
439,Evening,0.5,1,In-Store,M,38.0,169.39,Afternoon
440,Evening,,0,Online,F,63.0,451.47,Afternoon
441,Afternoon,0.43,1,,M,22.0,498.12,Morning
442,Evening,0.25,0,Online,M,23.0,414.45,Morning
443,Afternoon,0.82,1,Online,M,55.0,423.99,Morning
444,Morning,0.8,1,In-Store,M,79.0,132.01,Morning
445,,0.69,0,In-Store,M,39.0,292.58,Afternoon
446,Morning,0.27,0,,F,79.0,42.96,Evening
447,Afternoon,0.59,1,In-Store,M,35.0,56.51,Morning
448,Evening,0.36,0,Online,F,31.0,499.46,Morning
449,Evening,0.09,0,Online,F,27.0,170.05,Evening
450,Morning,0.92,0,Online,M,63.0,376.61,Morning
451,Morning,0.14,0,In-Store,F,30.0,405.27,Afternoon
452,Morning,0.95,1,Online,M,48.0,430.43,Morning
453,,0.45,1,In-Store,F,47.0,498.84,Afternoon
454,Afternoon,0.19,0,In-Store,F,20.0,128.33,Morning
455,Morning,0.54,0,In-Store,M,47.0,29.77,Morning
456,Evening,0.87,0,In-Store,M,23.0,211.48,Morning
457,Afternoon,0.73,0,In-Store,M,46.0,73.74,Afternoon
458,,0.81,1,In-Store,M,25.0,20.99,Morning
459,Afternoon,0.66,1,Online,M,61.0,,Morning
460,Morning,0.69,0,In-Store,F,,394.03,Afternoon
461,Morning,0.85,0,Online,F,,287.43,Evening
462,Morning,,0,Online,F,61.0,163.26,Morning
463,Morning,0.49,1,In-Store,F,50.0,330.63,Afternoon
464,Morning,0.22,0,In-Store,F,34.0,123.69,Evening
